time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month,hour,hour_formatted,diff_vs_avg_week,diff_vs_avg_month,diff_vs_yesterday,diff_vs_same_day
00h,6,9,5,5.0,4.92,0,00h,20.0,21.951219512195124,-33.33333333333333,20.0
01h,3,3,2,2.0,1.92,1,01h,50.0,56.250000000000014,0.0,50.0
02h,3,1,2,0.42,0.75,2,02h,614.2857142857143,300.0,200.0,50.0
03h,0,1,1,0.42,0.46,3,03h,-100.0,-100.0,-100.0,-100.0
04h,0,0,0,0.14,0.21,4,04h,-100.0,-100.0,0.0,0.0
05h,2,1,1,0.71,0.71,5,05h,181.69014084507046,181.69014084507046,100.0,100.0
06h,3,1,2,1.42,2.1,6,06h,111.26760563380283,42.85714285714285,200.0,50.0
07h,10,2,9,3.0,5.03,7,07h,233.33333333333334,98.80715705765407,400.0,11.11111111111111
08h,25,0,12,3.71,9.82,8,08h,573.8544474393531,154.5824847250509,25000.0,108.33333333333333
09h,36,2,27,10.14,17.64,9,09h,255.02958579881656,104.0816326530612,1700.0,33.33333333333333
10h,43,55,42,26.14,28.57,10,10h,64.49885233358836,50.507525376268816,-21.818181818181817,2.380952380952381
11h,44,36,47,25.0,28.28,11,11h,76.0,55.58698727015559,22.22222222222222,-6.382978723404255
12h,46,51,46,24.0,25.89,12,12h,91.66666666666666,77.67477790652761,-9.803921568627452,0.0
13h,45,36,31,20.28,24.17,13,13h,121.89349112426034,86.18121638394702,25.0,45.16129032258064
14h,19,32,35,19.57,24.89,14,14h,-2.9126213592233023,-23.66412213740458,-40.625,-45.714285714285715
15h,0,51,42,22.427,27.78,15,15h,-100.0,-100.0,-100.0,-100.0
16h,0,41,36,21.57,25.53,16,16h,-100.0,-100.0,-100.0,-100.0
17h,0,45,19,17.71,22.67,17,17h,-100.0,-100.0,-100.0,-100.0
18h,13,32,29,16.85,18.46,18,18h,-22.848664688427306,-29.5774647887324,-59.375,-55.172413793103445
19h,32,33,29,18.0,18.21,19,19h,77.77777777777779,75.7276221856123,-3.0303030303030303,10.344827586206897
20h,23,25,17,12.14,18.53,20,20h,89.45634266886326,24.123043712897996,-8.0,35.294117647058826
21h,28,30,23,14.85,17.82,21,21h,88.55218855218855,57.12682379349046,-6.666666666666667,21.73913043478261
22h,29,28,17,12.71,15.5,22,22h,128.16679779701022,87.09677419354838,3.571428571428571,70.58823529411765
23h,17,11,14,8.28,8.75,23,23h,105.31400966183577,94.28571428571428,54.54545454545454,21.428571428571427
